time "0 (ground state)" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
24.0 1.1749643020258197e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
25.0 8.385452519230773e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
26.0 1.6864179046299535e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
27.0 1.2661158303032e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
28.0 4.017961472476405e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
29.0 4.115274755703661e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
30.0 1.695254197266165e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
31.0 5.524931302153635e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
32.0 1.6914650185095455e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
33.0 4.607926850012491e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
34.0 4.491976244903536e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
35.0 7.946261185942682e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
36.0 2.272396963486087e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
37.0 2.68227611585494e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
38.0 6.179820765177359e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
39.0 2.465689952860895e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
40.0 1.4797611979202627e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
41.0 1.5087156989002486e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
42.0 6.652534909638288e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
43.0 1.0230566410502728e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
44.0 3.5446755450132564e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
45.0 1.6904974004275838e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
46.0 2.8104553070796143e-30 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
47.0 4.995600646132275e-32 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
