time "0 (ground state)" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
70.0 0.9702969797047759 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
71.0 0.9657757420853273 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
72.0 0.9536120015228572 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
73.0 0.9293747024928993 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
74.0 0.901740356680841 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
75.0 0.8827104985455094 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
76.0 0.8731044087148275 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
77.0 0.8717512826683518 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
78.0 0.8753126413604618 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
79.0 0.8812953578435473 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
80.0 0.8862534885746245 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
81.0 0.8822143057134729 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
82.0 0.8589494618395834 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
83.0 0.8103121877833187 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
84.0 0.7371704782802813 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
85.0 0.6495885504744281 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
86.0 0.563588883454711 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
87.0 0.5185340687161657 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
88.0 0.5383617856499269 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
89.0 0.5629962857169843 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
90.0 0.5914864564414759 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
91.0 0.6230034064961583 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
92.0 0.6568567988199645 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
93.0 0.6932635688622424 3.666927008497604e-38 1.324121799788048e-30 2.87311192791701e-35 1.0449214593659156e-34 1.3537127542291264e-34 7.992869022088536e-31 1.5903376684923099e-34 2.6742080159826695e-35 1.8737058119842316e-34 3.152210488089626e-31 5.362672451042125e-36 2.4313694786507504e-35 3.6008872752093967e-34 5.139893298051757e-32 4.583814687927742e-35 1.211618459522634e-35 8.36947323451839e-36 1.4845878718853158e-35 1.098777137270531e-37 1.3835895282944192e-34 6.015124987776799e-35 1.0134028952957328e-36 1.9564495472017837e-36 9.732135628238075e-35 6.772464406582483e-34 1.074595873438872e-32 2.203797146037284e-30 1.3795204158490608e-32 1.240053751909185e-39 6.800889109816816e-40 3.286724595526455e-34 2.3825958836235913e-38 6.714310951031827e-35 2.0474040159128902e-41 4.961732211085085e-38 1.1821566848858403e-37 9.334146231979765e-37 2.387113065233819e-34 4.147811994797402e-38 6.540466971682591e-37 8.549794316826667e-35 2.4677638507896024e-35 9.954058847908838e-34 2.4529190233895085e-31 1.8321782127802886e-35 4.420181779586454e-34 6.550871832453089e-34 8.808374936119328e-35
